ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.E [],1,27.777,27.777,0.0,27.777,27.777
ROI.F [],1,26.276000000000003,26.276000000000003,0.0,26.276000000000003,26.276000000000003
ROI.03 [],8,25.157125000000004,26.783,17.299648171548892,0.7759999999999998,54.78800000000001
ROI.09 [],1,27.777,27.777,0.0,27.777,27.777
ROI.10 [],1,27.777,27.777,0.0,27.777,27.777
ROI.11 [],1,28.284000000000006,28.284000000000006,0.0,28.284000000000006,28.284000000000006
ROI.12 [],1,27.777,27.777,0.0,27.777,27.777
ROI.13 [],1,28.284000000000006,28.284000000000006,0.0,28.284000000000006,28.284000000000006
ROI.14 [],2,54.776999999999994,54.776999999999994,26.999999999999993,27.777,81.77699999999999
ROI.16 [],1,28.284000000000006,28.284000000000006,0.0,28.284000000000006,28.284000000000006
ROI.17 [],1,33.277,33.277,0.0,33.277,33.277
ROI.18 [],1,27.777,27.777,0.0,27.777,27.777
ROI.19 [],1,31.284999999999997,31.284999999999997,0.0,31.284999999999997,31.284999999999997
ROI.20 [],1,33.277,33.277,0.0,33.277,33.277
ROI.21 [],1,33.277,33.277,0.0,33.277,33.277
ROI.22 [],3,13.443333333333333,12.775999999999996,1.6998039756264713,11.777000000000001,15.777000000000001
