ROI,mean0,sd0,thr
ROI.01 [],0.020413380933171084,0.018570628497926064,0.09469589492487535
ROI.02 [],0.019357871928665643,0.01295272374754583,0.07116876691884896
ROI.04 [],0.02209063113512131,0.01386915738108784,0.07756726065947267
ROI.05 [],0.006209358063802614,0.015339894662772075,0.06756893671489092
ROI.03 [],0.07421808641760043,0.026552980091883793,0.1804300067851356
ROI.06 [],0.03954149254999993,0.012907781382450008,0.09117261807979996
ROI.07 [],0.03564080369604633,0.027533587328884997,0.14577515301158633
ROI.08 [],0.018879604455564865,0.017682242385933397,0.08960857399929845
ROI.09 [],0.010224710388123339,0.008413334067340386,0.04387804665748488
ROI.10 [],0.01707412205762026,0.011876118526350262,0.0645785961630213
ROI.11 [],0.013585784463111766,0.02082611952454283,0.09689026256128308
ROI.12 [],0.02735657821209505,0.020159699136836247,0.10799537475944004
ROI.13 [],0.07421808641760043,0.026552980091883793,0.1804300067851356
ROI.14 [],0.021429386209393102,0.012929286041843098,0.0731465303767655
