ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.E [],103.277,23.277,80,100
ROI.E [],147.278,17.27799999999999,130,150
ROI.E [],156.788,26.78800000000001,130,150
ROI.F [],70.795,40.795,30,50
ROI.F [],113.788,33.788,80,100
ROI.F [],133.279,3.2789999999999964,130,150
ROI.D [],105.285,25.284999999999997,80,100
ROI.09 [],155.278,25.27799999999999,130,150
ROI.10 [],156.276,26.27600000000001,130,150
ROI.11 [],156.788,26.78800000000001,130,150
ROI.12 [],160.788,30.78800000000001,130,150
ROI.13 [],157.778,27.77799999999999,130,150
ROI.14 [],161.777,31.776999999999987,130,150
ROI.16 [],157.277,27.276999999999987,130,150
ROI.19 [],159.279,29.278999999999996,130,150
ROI.21 [],160.283,30.282999999999987,130,150
ROI.22 [],32.277,2.277000000000001,30,50
ROI.22 [],39.777,9.777000000000001,30,50
ROI.22 [],58.278,28.278,30,50
ROI.22 [],64.779,34.778999999999996,30,50
ROI.22 [],71.278,41.278000000000006,30,50
ROI.22 [],82.277,2.277000000000001,80,100
ROI.22 [],89.279,9.278999999999996,80,100
ROI.22 [],98.777,18.777,80,100
ROI.22 [],106.777,26.777,80,100
ROI.22 [],131.777,1.7769999999999868,130,150
ROI.22 [],144.784,14.783999999999992,130,150
ROI.22 [],161.777,31.776999999999987,130,150
ROI.22 [],166.779,36.778999999999996,130,150
ROI.22 [],173.788,43.78800000000001,130,150
ROI.22 [],184.778,54.77799999999999,130,150
ROI.31 [],71.278,41.278000000000006,30,50
ROI.31 [],113.277,33.277,80,100
ROI.31 [],133.279,3.2789999999999964,130,150
ROI.31 [],140.278,10.277999999999992,130,150
ROI.31 [],178.278,48.27799999999999,130,150
