ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.01 [],4,9.027250000000002,5.527999999999999,9.086205268840231,1.2760000000000105,23.777
ROI.03 [],4,12.152250000000002,9.276500000000006,9.799894830430581,1.7789999999999964,28.277
ROI.04 [],4,14.901500000000002,13.527000000000001,2.5338706064043564,13.27600000000001,19.275999999999996
ROI.05 [],3,3.7776666666666636,4.277999999999992,1.471620497577038,1.7779999999999987,5.277000000000001
ROI.06 [],1,1.2759999999999962,1.2759999999999962,0.0,1.2759999999999962,1.2759999999999962
ROI.07 [],4,8.152250000000004,2.5280000000000022,10.490218691118883,1.2760000000000105,26.277
ROI.08 [],4,7.278500000000003,2.7805,8.710037729539406,1.2760000000000105,22.277
ROI.11 [],1,0.27599999999999625,0.27599999999999625,0.0,0.27599999999999625,0.27599999999999625
ROI.12 [],2,0.7760000000000034,0.7760000000000034,0.4999999999999929,0.27600000000001046,1.2759999999999962
ROI.13 [],1,1.2759999999999962,1.2759999999999962,0.0,1.2759999999999962,1.2759999999999962
ROI.14 [],3,4.448999999999995,5.277000000000001,1.5381269995246352,2.2929999999999993,5.776999999999987
ROI.15 [],3,2.6103333333333367,1.7779999999999987,1.545711127244959,1.2760000000000105,4.777000000000001
ROI.17 [],4,13.154499999999997,9.782,9.982485599789266,3.276999999999987,29.777
ROI.18 [],2,0.7760000000000034,0.7760000000000034,0.4999999999999929,0.27600000000001046,1.2759999999999962
ROI.19 [],5,15.877000000000004,13.779000000000003,2.7817262985419653,13.27600000000001,19.277
ROI.21 [],1,27.27799999999999,27.27799999999999,0.0,27.27799999999999,27.27799999999999
ROI.22 [],4,9.028249999999998,5.029500000000002,8.324549999099053,2.776999999999987,23.277
