ROI,mean0,sd0,thr
ROI.01 [],0.050835757980150505,0.026992733118582166,0.13181395733589701
ROI.02 [],0.021622286700498955,0.01368624115588221,0.06268101016814559
ROI.04 [],0.08121939029885498,0.059551783075862355,0.2598747395264421
ROI.05 [],0.027839645015081245,0.019122623652661586,0.085207515973066
ROI.03 [],0.03719012093207362,0.03159334317985192,0.13197015047162938
ROI.06 [],0.07139678167040311,0.039100348309513436,0.1886978265989434
ROI.07 [],0.13252383104311413,0.09367504765288195,0.41354897400176005
ROI.08 [],0.04764569976169768,0.04505447856033853,0.18280913544271327
ROI.09 [],0.04303218789874808,0.018837542350096027,0.09954481494903616
ROI.10 [],0.022557420490235278,0.010983840909057406,0.05550894321740749
ROI.11 [],0.05225752352220371,0.036683482015257264,0.1623079695679755
ROI.12 [],0.07791405737313695,0.032566043329100694,0.17561218736043904
ROI.13 [],0.2161289271250882,0.14683393093342142,0.6566307199253525
ROI.14 [],0.12519400724929622,0.054059976415616405,0.2873739364961454
