ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.01 [],3,13.276666666666662,9.276999999999987,9.0280488971255,4.775999999999996,25.777
ROI.03 [],2,8.790500000000009,8.790500000000009,0.003500000000002501,8.787000000000006,8.794000000000011
ROI.04 [],1,18.787000000000006,18.787000000000006,0.0,18.787000000000006,18.787000000000006
ROI.05 [],4,10.9035,5.275999999999996,10.983613669917565,3.2760000000000034,29.786
ROI.06 [],1,0.2769999999999868,0.2769999999999868,0.0,0.2769999999999868,0.2769999999999868
ROI.07 [],2,15.282000000000004,15.282000000000004,6.005000000000003,9.277000000000001,21.287000000000006
ROI.08 [],3,2.9443333333333377,2.7760000000000105,1.0287546948725053,1.777000000000001,4.280000000000001
ROI.12 [],1,1.2769999999999868,1.2769999999999868,0.0,1.2769999999999868,1.2769999999999868
ROI.14 [],2,6.281500000000008,6.281500000000008,0.4934999999999974,5.788000000000011,6.775000000000006
ROI.15 [],3,3.7789999999999964,3.776999999999987,1.6354432630533737,1.777000000000001,5.783000000000001
ROI.16 [],1,3.776999999999987,3.776999999999987,0.0,3.776999999999987,3.776999999999987
ROI.17 [],3,4.109666666666665,3.776999999999987,2.0539395209098945,1.777000000000001,6.775000000000006
ROI.21 [],1,1.277000000000001,1.277000000000001,0.0,1.277000000000001,1.277000000000001
ROI.22 [],3,6.285000000000006,5.788000000000011,1.8732358812137546,4.280000000000001,8.787000000000006
ROI.23 [],2,1.2774999999999963,1.2774999999999963,0.0005000000000094929,1.2769999999999868,1.2780000000000058
ROI.24 [],1,0.2769999999999868,0.2769999999999868,0.0,0.2769999999999868,0.2769999999999868
