ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.E [],97.777,17.777,70,80
ROI.F [],56.276,16.276000000000003,30,40
ROI.09 [],97.777,17.777,70,80
ROI.10 [],97.777,17.777,70,80
ROI.11 [],98.284,18.284000000000006,70,80
ROI.12 [],97.777,17.777,70,80
ROI.13 [],98.284,18.284000000000006,70,80
ROI.14 [],97.777,17.777,70,80
ROI.16 [],98.284,18.284000000000006,70,80
ROI.17 [],103.277,23.277,70,80
ROI.18 [],97.777,17.777,70,80
ROI.19 [],101.285,21.284999999999997,70,80
ROI.20 [],103.277,23.277,70,80
ROI.21 [],100.782,20.781999999999996,70,80
